Mod Name,Forum Page,Mod Author,Icon/Folder
6S Service Compartment Tubes!,http://forum.kerbalspaceprogram.com/threads/61040,nothke,NothkeSerCom
AdjustableLandingGear,http://forum.kerbalspaceprogram.com/threads/99660,BahamutoD,AdjustableLandingGear
B9 Aerospace,http://forum.kerbalspaceprogram.com/threads/92630,bac9,B9_Aerospace
Bahamuto Dynamics,http://forum.kerbalspaceprogram.com/threads/82341,BahamutoD,BahaSP
CactEye 2 Orbital Telescope,http://forum.kerbalspaceprogram.com/threads/105660,Raven,CactEye
Cargo Transportation Solutions,http://forum.kerbalspaceprogram.com/threads/77505,Talisar,ModsByTal
CIT,https://ksp.marce.at/,marce,CIT
Cryogenic Engines,http://forum.kerbalspaceprogram.com/threads/117766,nertea,CryoEngines
Deadly Reentry,http://forum.kerbalspaceprogram.com/threads/54954,Starwaster,DeadlyReentry
DMagic Orbital Science,http://forum.kerbalspaceprogram.com/threads/64972,DMagic,DMagic Orbital Science
Dr. Jet's Chop Shop,http://forum.kerbalspaceprogram.com/threads/84443,Dr.Jet,ChopShop
Extraplanetary Launchpads,http://forum.kerbalspaceprogram.com/threads/59545,taniwha,ExtraplanetaryLaunchpads
FASA,http://forum.kerbalspaceprogram.com/threads/24867,frizzank,FASA
Fuel Science,http://forum.kerbalspaceprogram.com/threads/67359,ArcaneZedric,ArcanumIndustries
Fuel Tanks Plus,http://forum.kerbalspaceprogram.com/threads/108238,NecroBones,FuelTanksPlus
GingerCorp Stock-alike Station Hubs,http://forum.kerbalspaceprogram.com/threads/80575,Starwaster,GingerCorp
Impact!,http://forum.kerbalspaceprogram.com/threads/114087,,Impact
Interstellar Fuel Switch,http://forum.kerbalspaceprogram.com/threads/117932,FreeThinker,InterstellarFuelSwitch
Kerbal Attachment System (KAS),http://forum.kerbalspaceprogram.com/threads/92514,KospY/Winn75,KAS
Kerbal Engineer Redux,http://forum.kerbalspaceprogram.com/threads/18230,cybutek,KerbalEngineer
Kerbal Inventory System (KIS),http://forum.kerbalspaceprogram.com/threads/113111,KospY/Winn75,KIS
Klockheed Martian. Smart Parts,http://forum.kerbalspaceprogram.com/threads/64227,Firov,SmartParts
KSP Interstellar,http://forum.kerbalspaceprogram.com/threads/43839,Fractal_UK,WarpPlugin
KSPX,http://forum.kerbalspaceprogram.com/threads/30472,KasperVld,KSPX
KWRocketry,http://forum.kerbalspaceprogram.com/threads/51037,Kickasskyle,KWRocketry
Magic Smoke Industries - Infernal Robotics,http://forum.kerbalspaceprogram.com/threads/37707,sirkut,MagicSmokeIndustries
Mark IV Spaceplane System,http://forum.kerbalspaceprogram.com/threads/101699,Nertea,MarkIVSystem
MechJeb,http://forum.kerbalspaceprogram.com/threads/12384,r4mon,Mechjeb2
Modular Rocket Systems,http://forum.kerbalspaceprogram.com/threads/93067,NecroBones,ModRocketSys
NASAmission,-,Squad,NASAmission
Near Future Construction,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureConstruction
Near Future Electrical,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureElectrical
Near Future Propulsion,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFuturePropulsion
Near Future Solar,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureSolar
Near Future Spacecraft,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureSpacecraft
NEBULA space engineering - EVA handrails pack ,http://forum.kerbalspaceprogram.com/threads/100531,Krasimir,NEBULA
Nehemiah Engineering - Orbital Material Science,http://forum.kerbalspaceprogram.com/threads/81578,N3h3mia,NehemiahInc
NovaPunch,http://forum.kerbalspaceprogram.com/threads/3870,Tiberion,NovaPunch2
NRAP,http://forum.kerbalspaceprogram.com/threads/72707,hkotysoft,NRAP
OPT Space Planes,http://forum.kerbalspaceprogram.com/threads/97525,K. Yeon,OPT
Procedural Dynamics - Procedural Wing,http://forum.kerbalspaceprogram.com/threads/29862,DYJ,ProceduralDynamics
Procedural Fairings,http://forum.kerbalspaceprogram.com/threads/39512,e-dog,ProceduralFairings
Procedural Parts,http://forum.kerbalspaceprogram.com/threads/70676,swamp_ig,ProceduralParts
QuizTech Aero Pack,http://forum.kerbalspaceprogram.com/threads/111691,Quiznos323,QuizTechAero
Raster Prop Monitor,http://forum.kerbalspaceprogram.com/threads/57603,Mihara,JSI
RealChute,http://forum.kerbalspaceprogram.com/threads/57988,stupid_chris,RealChute
RemoteTech,http://forum.kerbalspaceprogram.com/threads/83305,Starstrider42,RemoteTech
RLA Stockalike,http://forum.kerbalspaceprogram.com/threads/90218,hoojiwana,RLA_Stockalike
SCANSat,http://forum.kerbalspaceprogram.com/threads/80369,DMagic,SCANsat
SciFi Shipyards Flag Decals,http://forum.kerbalspaceprogram.com/threads/37908,StarVision,ZZZ_Flags
Speedy's Hex Truss System,http://forum.kerbalspaceprogram.com/threads/86388,SpeedyB,SPD
Squad,-,Squad,Squad
